bidder,wild tract bids,strict neighbor bids,existing bg bids,average neighbors per bid,num bids,average final round number,wild tract bids winner,strict neighbor bids winner,existing bg bids winner,average neighbors per bid winner,num wins,average final round number winner,won blocks in wild tract bg,won blocks in strict neighbor bg,won blocks in existing bg,total blocks won
Enduring Internet,3246,0,0,0,3246,13.929451632778804,9,0,0,0,9,14.666666666666666,77,0,0,77
FARMERS MUTUAL TELEPHONE COMPANY,10,0,0,0,10,15.8,2,0,0,0,2,15.5,5,0,0,5
"FastTrack Communications, Inc.",2,0,0,0,2,11.0,0,0,0,0,0,0.0,0,0,0,0
"FiberLight, LLC",3888,0,0,0,3888,11.450360082304528,11,0,0,0,11,16.09090909090909,415,0,0,415
"Flat Wireless, LLC",2354,0,0,0,2354,13.125743415463042,0,0,0,0,0,0.0,0,0,0,0
Fond du Lac Communications Inc,4,0,0,0,4,17.25,4,0,0,0,4,17.25,96,0,0,96
"Grain Communications Opportunity Fund II, L.P.",122,0,0,0,122,13.60655737704918,61,0,0,0,61,13.770491803278688,747,0,0,747
Grase Communications LLC,5,0,0,0,5,16.6,0,0,0,0,0,0.0,0,0,0,0
Great Plains Consortium,67,0,0,0,67,15.208955223880597,31,0,0,0,31,16.161290322580644,586,0,0,586
Hawaii Dialogix Telecom LLC,896,0,0,0,896,11.407366071428571,14,0,0,0,14,15.5,402,0,0,402
"HomeTown Broadband, Inc.",420,0,0,0,420,12.41904761904762,2,0,0,0,2,14.5,151,0,0,151
"Hughes Network Systems, LLC",60941,0,0,0,60941,12.756846786235867,168,0,0,0,168,12.0,370,0,0,370
IVS Comm Inc,75,0,0,0,75,12.146666666666667,0,0,0,0,0,0.0,0,0,0,0
"Miles Communications, Inc.",12,0,0,0,12,13.416666666666666,2,0,0,0,2,17.0,17,0,0,17
"Mohave Electric Cooperative, Inc.",10,0,0,0,10,18.0,0,0,0,0,0,0.0,0,0,0,0
"NBVDS Investment, L.L.C.",77,0,0,0,77,14.584415584415584,20,0,0,0,20,16.75,341,0,0,341
"NE Colorado Cellular, Inc.",113,0,0,0,113,13.398230088495575,0,0,0,0,0,0.0,0,0,0,0
NRTC Phase I RDOF Consortium,1490,0,0,0,1490,15.02751677852349,852,0,0,0,852,14.88262910798122,16231,0,0,16231
"Net Ops Communications, LLC",27,0,0,0,27,16.555555555555557,3,0,0,0,3,19.0,192,0,0,192
NexTier Consortium,3077,0,0,0,3077,13.847253818654533,615,0,0,0,615,15.941463414634146,12122,0,0,12122
"Pine Cellular Phones, Inc.",14,0,0,0,14,17.357142857142858,12,0,0,0,12,17.083333333333332,315,0,0,315
"Pioneer Long Distance, Inc.",16,0,0,0,16,19.0,10,0,0,0,10,19.0,129,0,0,129
Premier Point,1932,0,0,0,1932,9.63768115942029,0,0,0,0,0,0.0,0,0,0,0
Prospero Broadband Consortium,374,0,0,0,374,15.302139037433156,289,0,0,0,289,15.283737024221454,8319,0,0,8319
Pueblo of Jemez,4,0,0,0,4,13.0,0,0,0,0,0,0.0,0,0,0,0
RC Technologies,4,0,0,0,4,16.25,2,0,0,0,2,16.5,46,0,0,46
RDOF USA Consortium,918,0,0,0,918,14.381263616557733,341,0,0,0,341,14.84457478005865,8814,0,0,8814
"RHMD, LLC",218,0,0,0,218,13.660550458715596,72,0,0,0,72,14.98611111111111,1095,0,0,1095
Rivers High Group,26,0,0,0,26,13.884615384615385,7,0,0,0,7,16.142857142857142,219,0,0,219
Rockwell Cooperative Telephone Association,5,0,0,0,5,14.0,0,0,0,0,0,0.0,0,0,0,0
