bidder,neighbor winner average final round number,neighbor winner neighbors per bid,neighbor winner any neighbors per bid,wild tract winner average final round number,wild tract winner average neighbors per bid,wild tract winner average any neighbors per bid,existing winner average final round number,existing winner average neighbors per bid,existing winner average any neighbors per bid,winner average final round number,winner average neighbors per bid,winner average any neighbors per bid,neighbor bg bids,neighbor average final round number,neighbor blocks won,neighbor neighbors per bid,neighbor any neighbors per bid,neighbor num wins,wild tract bg bids,wild tract average final round number,wild tract blocks won,wild tract average neighbors per bid,wild tract average any neighbors per bid,wild tract num wins,existing bg bids,existing average final round number,existing blocks won,existing average neighbors per bid,existing average any neighbors per bid,existing num wins,num bids,average final round number,total blocks won,average neighbors per bid,average any neighbors per bid,num wins,wins/bid,blocks/win
Inland Cellular LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,2.25,8.0,0.0,23.0,9.0,0.0,0.0,6.695652173913044,0.0,14.0,9.0,0.0,5.357142857142857,7.214285714285714,0.0,45,9.0,0,2.066666666666667,7.088888888888889,0,0.0,0.0
Kingdom Telecommunications Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,11.0,0.0,10.0,12.9,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,12.636363636363637,0,0.45454545454545453,8.0,0,0.0,0.0
"Leap Communications, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,12.0,0.0,8.0,11.0,0.0,0.0,7.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10.8,0,0.4,8.7,0,0.0,0.0
Lincolnville Telephone Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0,0,4.0,8.0,0,0.0,0.0
Local Internet Service Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.666666666666666,0.0,2.3333333333333335,10.666666666666666,0.0,3.0,12.0,0.0,0.0,7.666666666666667,0.0,2.0,11.5,0.0,4.5,9.5,0.0,8,12.125,0,2.0,9.25,0,0.0,0.0
Mark Twain Communications Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,2.125,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,0.0,6.6521739130434785,8.391304347826088,0.0,31,13.0,0,5.483870967741935,7.967741935483871,0,0.0,0.0
"Martell Enterprises, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,2.0,0.0,2,12.5,0,2.0,6.0,0,0.0,0.0
Massena Telephone Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,1.5,7.833333333333333,0.0,16.0,10.875,0.0,0.0,7.625,0.0,4.0,13.25,0.0,3.75,11.0,0.0,26,11.5,0,0.9230769230769231,8.192307692307692,0,0.0,0.0
Montana Internet Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,7.777777777777778,7.666666666666667,0.0,10,11.0,0,7.3,7.3,0,0.0,0.0
Moundridge Telephone Co.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,5.333333333333333,10.0,0.0,4,13.5,0,4.5,9.25,0,0.0,0.0
"NEIT Services, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,3.3333333333333335,7.0,0.0,5,14.0,0,2.8,7.6,0,0.0,0.0
Newbreak Communications,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.5,0.0,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,15.0,0.0,3,7.666666666666667,0,2.6666666666666665,9.333333333333334,0,0.0,0.0
NexGenAccess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,12.058823529411764,0.0,1.8235294117647058,8.058823529411764,0.0,153.0,11.49673202614379,0.0,0.0,7.8431372549019605,0.0,28.0,12.714285714285714,0.0,5.178571428571429,8.0,0.0,215,11.744186046511627,0,0.9627906976744186,7.897674418604651,0,0.0,0.0
Northwoodsconnect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.294117647058824,0.0,1.7647058823529411,7.470588235294118,0.0,2.0,14.0,0.0,0.0,6.5,0.0,8.0,13.75,0.0,2.5,7.125,0.0,27,13.481481481481481,0,1.8518518518518519,7.296296296296297,0,0.0,0.0
"Norvado, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,1.3333333333333333,7.0,0.0,15.0,12.6,0.0,0.0,7.466666666666667,0.0,2.0,14.0,0.0,3.0,7.5,0.0,20,12.65,0,0.5,7.4,0,0.0,0.0
One Point Technologies Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.166666666666666,0.0,6.833333333333333,6.833333333333333,0.0,13,13.076923076923077,0,6.615384615384615,6.846153846153846,0,0.0,0.0
"Panhandle Telephone Cooperative, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,4.75,5.25,0.0,5,18.0,0,4.0,4.6,0,0.0,0.0
